,title,url,pageRank,word,pos,start_time,end_time
0,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,assignments,noun,180,240
1,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,exercises,noun,180,240
2,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,thing,noun,180,240
3,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,introduction,noun,180,240
4,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,course,noun,180,240
5,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,course,noun,180,240
6,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,thing,noun,180,240
7,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,course,noun,180,240
8,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,video,noun,180,240
9,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,lecture,noun,180,240
10,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,video,noun,180,240
11,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,practice,verb,180,240
12,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,want,verb,180,240
13,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,practice,verb,180,240
14,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,give,verb,180,240
15,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,complete,verb,180,240
16,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,say,verb,180,240
17,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,get,verb,180,240
18,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,hope,verb,180,240
19,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,enjoy,verb,180,240
20,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,go,verb,180,240
21,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,start,verb,180,240
22,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,take,verb,180,240
23,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Bye_(sports),0.1167654510078571,care,verb,180,240
24,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Starting_pitcher,0.08412039728475351,assignments,noun,180,240
25,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Starting_pitcher,0.08412039728475351,exercises,noun,180,240
26,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Starting_pitcher,0.08412039728475351,thing,noun,180,240
27,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Starting_pitcher,0.08412039728475351,introduction,noun,180,240
28,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Starting_pitcher,0.08412039728475351,course,noun,180,240
